id	name	affirmation
10	lacking_motivation	I am energized by the thought of a new day.
10	lacking_motivation	My only limit is myself.
10	lacking_motivation	I am open-minded and willing to explore any path to success.
10	lacking_motivation	When opportunity knocks, I will be prepared to answer the door.
10	lacking_motivation	I have abundant energy.
10	lacking_motivation	Change provides me an opportunity.
10	lacking_motivation	The little things in life make all the difference.
10	lacking_motivation	I desire to learn new things.
10	lacking_motivation	Where others see a challenge, I see new opportunities.
10	lacking_motivation	Time is my friend. I finish all the tasks I need to finish.
10	lacking_motivation	I am my own best chance for success.
10	lacking_motivation	I am committed to becoming the person I will become.
11	feeling_chaotic	Organization comes naturally to me.
11	feeling_chaotic	Time is my most valuable asset. I guard my time carefully.
11	feeling_chaotic	Balance is key. I will mix self-care with effort.
11	feeling_chaotic	I give myself permission to take personal time.
11	feeling_chaotic	Calm is my primary state of being.
11	feeling_chaotic	My strength is stronger than my anxiety.
11	feeling_chaotic	I move beyond stress to peace.
11	feeling_chaotic	I am happy, healthy, and centered.
11	feeling_chaotic	I am calm, patient, and in control of my emotions.
11	feeling_chaotic	My negative thoughts and self-images are gone.
12	lacking_confidence	I am calm and confident.
12	lacking_confidence	I let go of negative “what if”s
12	lacking_confidence	My strength is stronger than my anxiety.
12	lacking_confidence	My fear diminishes as I live my life with courage.
12	lacking_confidence	I am constantly improving.
12	lacking_confidence	I have confidence in my skills.
12	lacking_confidence	I am not afraid to be wrong.
12	lacking_confidence	I am confident in the presence of others.
12	lacking_confidence	I will speak with confidence and self-assurance.
12	lacking_confidence	Even outside my comfort zone, I will be comfortable in my own skin.
12	lacking_confidence	My confidence knows no limits.
12	lacking_confidence	I choose hope over fear.
12	lacking_confidence	I am a diamond. It is time for me to shine.
12	lacking_confidence	My opinion matters.
12	lacking_confidence	Negative self-talk has no place in my life.
12	lacking_confidence	I do not bow to my fears.
13	lacking_selfcare	I feel free to give myself the tender loving care I need.
13	lacking_selfcare	I am a positive influence, and I surround myself with others like me.
13	lacking_selfcare	Balance is key. I will mix self-care with effort.
13	lacking_selfcare	I give myself permission to take personal time.
13	lacking_selfcare	I will take time to put myself first.
13	lacking_selfcare	Calm is my primary state of being.
13	lacking_selfcare	I move beyond stress to peace.
13	lacking_selfcare	My thoughts are positive and full of joy.
13	lacking_selfcare	I am happy, healthy, and centered.
13	lacking_selfcare	Mindfulness will help me get the most from my time.
13	lacking_selfcare	I dare to be different.
13	lacking_selfcare	My mind, body, and soul are fit and strong.
14	lacking_productivity	Time is my most valuable asset. I guard my time carefully.
14	lacking_productivity	Balance is key. I will mix self-care with effort.
14	lacking_productivity	The little things in life make all the difference.
14	lacking_productivity	I will be proactive in discovering obstacles to my accomplishments.
14	lacking_productivity	I desire to learn new things.
14	lacking_productivity	I have a growth mindset.
14	lacking_productivity	Time is my friend. I finish all the tasks I need to finish.
14	lacking_productivity	My priorities are clear. I work to finish my most important tasks first.
14	lacking_productivity	My goals are my focus.
14	lacking_productivity	My focus on success is unwavering.
15	feeling_selfdoubt	I am unique and a gift to the world.
15	feeling_selfdoubt	I have abundant energy.
15	feeling_selfdoubt	I let go of negative “what if”s
15	feeling_selfdoubt	My thoughts are positive and full of joy.
15	feeling_selfdoubt	Change provides me an opportunity.
15	feeling_selfdoubt	My negative thoughts and self-images are gone.
15	feeling_selfdoubt	I follow my dreams with vigor.
15	feeling_selfdoubt	My fear diminishes as I live my life with courage.
15	feeling_selfdoubt	I desire to learn new things.
15	feeling_selfdoubt	Where others see a challenge, I see new opportunities.
15	feeling_selfdoubt	I have a growth mindset.
15	feeling_selfdoubt	I am committed to becoming the person I will become.
15	feeling_selfdoubt	My goals are getting closer to completion every day.
15	feeling_selfdoubt	I dare to be different.
15	feeling_selfdoubt	I choose hope over fear.
15	feeling_selfdoubt	I will not apologize for being myself.
15	feeling_selfdoubt	Negative self-talk has no place in my life.
15	feeling_selfdoubt	I do not bow to my fears.
16	career_issues	I am a wonderful employee. Any company would be lucky to have me.
16	career_issues	My career will be the one of my dreams.
16	career_issues	When I say “no” to the wrong job, I move that much closer to the perfect career.
16	career_issues	Balance is key. I will mix self-care with effort.
16	career_issues	Change provides me an opportunity.
16	career_issues	I follow my dreams with vigor.
16	career_issues	Where others see a challenge, I see new opportunities.
16	career_issues	I have a growth mindset.
16	career_issues	I am my own best chance for success.
16	career_issues	I am committed to becoming the person I will become.
16	career_issues	My goals are my focus.
16	career_issues	My focus on success is unwavering.
16	career_issues	Other people will not take advantage of me.
16	career_issues	I have confidence in my skills.
16	career_issues	I am a diamond. It is time for me to shine.
16	career_issues	My opinion matters.
